50|Atharva|16|20|29|17|27|37|9|19|47|13|29|47|11|23|44
51|Supriya|18|25|42|13|19|35|19|29|48|10|15|25|13|23|27
52|Vijay|15|23|46|14|26|44|17|24|43|11|17|34|18|21|40
53|Ritesh|12|20|32|14|20|32|16|20|32|18|20|32|20|20|32
54|Dipankar|14|21|49|20|22|43|13|18|39|19|29|49|19|21|23
55|Ankur|10|26|46|16|19|40|13|26|48|11|22|44|11|12|43
56|Sarthak|16|21|41|9|12|23|15|25|45|12|23|43|14|24|34
57|Abhishek|15|25|45|13|20|37|14|23|41|8|13|34|10|19|45
58|Kshitish|14|23|49|12|23|34|10|9|35|14|29|49|9|7|41
59|Rutuja|19|29|43|6|21|43|14|25|49|6|21|46|20|30|21
60|Pranav|16|20|29|17|27|37|9|19|47|13|29|47|11|23|44
61|Kanchan|18|25|42|13|19|35|19|29|48|10|15|25|13|23|27
62|Sejal|15|23|46|14|26|44|17|24|43|11|17|34|18|21|40
63|Mansi|12|20|32|14|20|32|16|20|32|18|20|32|20|20|32
64|Nidish|14|21|49|20|22|43|13|18|39|19|29|49|19|21|23
65|Sameep|10|26|46|16|19|40|13|26|48|11|22|44|11|12|43
66|Dhanashri|16|21|41|9|12|23|15|25|45|12|23|43|14|24|34
67|Aditya|15|25|45|13|20|37|14|23|41|8|13|34|10|19|45
68|Vaibhav|14|23|49|12|23|34|10|9|35|14|29|49|9|7|41
69|Omkar|19|29|43|6|21|43|14|25|49|6|21|46|20|30|21
70|Gaurav|16|20|29|17|27|37|9|19|47|13|29|47|11|23|44
71|Suraj|18|25|42|13|19|35|19|29|48|10|15|25|13|23|27
72|Abhijit|15|23|46|14|26|44|17|24|43|11|17|34|18|21|40
73|Yash|12|20|32|14|20|32|16|20|32|18|20|32|20|20|32
74|Prafulla|14|21|49|20|22|43|13|18|39|19|29|49|19|21|23
75|Manjiri|10|26|46|16|19|40|13|26|48|11|22|44|11|12|43
76|Sanket|16|21|41|9|12|23|15|25|45|12|23|43|14|24|34
77|Ashok|15|25|45|13|20|37|14|23|41|8|13|34|10|19|45
78|Harshal|14|23|49|12|23|34|10|9|35|14|29|49|9|7|41
79|Aryan|19|29|43|6|21|43|14|25|49|6|21|46|20|30|21
80|Sahil|16|20|29|17|27|37|9|19|47|13|29|47|11|23|44
81|Rohit|18|25|42|13|19|35|19|29|48|10|15|25|13|23|27
82|Snehal|15|23|46|14|26|44|17|24|43|11|17|34|18|21|40
83|Sai|12|20|32|14|20|32|16|20|32|18|20|32|20|20|32
84|Girish|14|21|49|20|22|43|13|18|39|19|29|49|19|21|23
85|Avantika|10|26|46|16|19|40|13|26|48|11|22|44|11|12|43
86|Rohan|16|21|41|9|12|23|15|25|45|12|23|43|14|24|34
87|Soham|15|25|45|13|20|37|14|23|41|8|13|34|10|19|45
88|Pradip|14|23|49|12|23|34|10|9|35|14|29|49|9|7|41
89|Kunal|19|29|43|6|21|43|14|25|49|6|21|46|20|30|21
90|Peeyush|16|20|29|17|27|37|9|19|47|13|29|47|11|23|44
